IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,UTM_Nord,UTM_Est,lat,lng
6826,Biossido di Azoto,µg/m³,657,Lonato del Garda v.del Marchesino,180,BS,Lonato del Garda,N         ,02/16/1990,5035536,615762,45.46375819,10.48078183
6832,Ozono,µg/m³,657,Lonato del Garda v.del Marchesino,180,BS,Lonato del Garda,N         ,03/14/2004,5035536,615762,45.46375819,10.48078183
6841,Biossido di Azoto,µg/m³,659,Odolo v.Praes,349,BS,Odolo,N         ,12/13/2013,5055661,608260,45.64605175,10.38929672
6859,Biossido di Azoto,µg/m³,661,Rezzato v.De Gasperi,147,BS,Rezzato,N         ,08/05/1992,5041110,604367,45.51571417,10.33624003
6869,Benzene,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N         ,06/06/2002,5004590,512932,45.19468231,9.16464919
6870,Benzene,µg/m³,663,Mantova v.Ariosto,18,MN,Mantova,N         ,01/01/2003,5000669,641770,45.14526864,10.80333489
6871,Biossido di Azoto,µg/m³,663,Mantova v.Ariosto,18,MN,Mantova,N         ,01/01/2003,5000669,641770,45.14526864,10.80333489
6872,Biossido di Zolfo,µg/m³,663,Mantova v.Ariosto,18,MN,Mantova,N         ,01/01/2003,5000669,641770,45.14526864,10.80333489
6877,Biossido di Azoto,µg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N         ,06/08/2004,5001351,640031,45.15175186,10.78141717
6879,Monossido di Carbonio,mg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N         ,06/11/2004,5001351,640031,45.15175186,10.78141717
6880,Biossido di Azoto,µg/m³,665,Viadana v. Cavalli,37,MN,Viadana,N         ,10/25/2003,4975705,619759,44.92469933,10.51750417
6884,Ozono,µg/m³,665,Viadana v. Cavalli,37,MN,Viadana,N         ,10/01/2003,4975705,619759,44.92469933,10.51750417
6904,Ozono,µg/m³,596,Osio Sotto v.per Levate,182,BG,Osio Sotto,N         ,09/08/2004,5052072,547691,45.62055568,9.61173782
6919,PM10 (SM2005),µg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,01/04/2000,5073500,505203,45.81504217,9.06697886
6939,PM10 (SM2005),µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,12/05/2000,5017060,538042,45.30601628,9.48527511
6947,PM10 (SM2005),µg/m³,643,Pavia p.zza Minerva,77,PV,Pavia,N         ,06/06/2002,5003660,511522,45.18633544,9.14667703
6951,PM10 (SM2005),µg/m³,649,Brescia v.Broletto,149,BS,Brescia,N         ,09/23/2000,5043674,595467,45.54006456,10.22281989
6952,PM10 (SM2005),µg/m³,654,Sarezzo v.Minelli,269,BS,Sarezzo,N         ,06/23/2000,5055826,593900,45.64962671,10.20509022
6962,PM10 (SM2005),µg/m³,595,Filago v.Don Milani,190,BG,Filago,N         ,10/14/2004,5053519,543342,45.63387247,9.55609572
6966,Biossido di Zolfo,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N         ,11/24/2004,5040636,593101,45.51306214,10.19190606
9739,PM10 (SM2005),µg/m³,608,Codogno v.Trento,59,LO,Codogno,N         ,04/09/2005,5000892,554872,45.15937678,9.69815314
9740,PM10 (SM2005),µg/m³,604,Tavazzano con Villavesco v.Cascina Bagnolo,85,LO,Tavazzano con Villavesco,N         ,04/05/2005,5019734,532492,45.33036444,9.41464375
9772,Benzene,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,04/23/2005,5017060,538042,45.30601628,9.48527511
9797,Benzene,µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N         ,09/30/2005,5002356,641122,45.16057658,10.79557331
9798,Monossido di Carbonio,mg/m³,670,Mantova S.Agnese,22,MN,Mantova,N         ,12/28/2004,5002356,641122,45.16057658,10.79557331
9802,Biossido di Azoto,µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N         ,12/31/2004,5002356,641122,45.16057658,10.79557331
9831,PM10 (SM2005),µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N         ,12/30/2004,5002356,641122,45.16057658,10.79557331
9833,Benzene,µg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N         ,05/16/2005,5001351,640031,45.15175186,10.78141717
